Original_Text,Actual,Predicted,Probability_Positive,Confidence,Correct,Actual_Label,Predicted_Label,Error_Category
starbucks if you're after that burnt poorly made amp depressing chain store vibe then yep starbucks is it,1,0,0.05533900750265082,0.9446609924973491,False,Positive,Negative,Uncoded
yea man we haven't seen each other for so long miss you,1,0,0.06387562244676095,0.9361243775532391,False,Positive,Negative,Uncoded
i should add that sometimes i am an quot expert quot rather than an expert,0,1,0.9122566007690469,0.9122566007690469,False,Negative,Positive,Uncoded
i dont think its good when you can tell your foot is swollen inside your shoee i wouldnt take it personal if my foot stopped hurting,1,0,0.07883277235920219,0.9211672276407978,False,Positive,Negative,Uncoded
having dinner ga eul's so pretty they should have gave gaeul and yijung a happier ending like getting engaged or stuff haha,0,1,0.920595442241618,0.920595442241618,False,Negative,Positive,Uncoded
hey there finally is spam on twitter whoo,0,1,0.9633114417029089,0.9633114417029089,False,Negative,Positive,Uncoded
i love working with cool year 9 kids,0,1,0.9733307258285919,0.9733307258285919,False,Negative,Positive,Uncoded
so local channels suck,1,0,0.099927257101745,0.900072742898255,False,Positive,Negative,Uncoded
my boyfrand just scratched all my back itchyz,1,0,0.05756380809156477,0.9424361919084352,False,Positive,Negative,Uncoded
good morning showering,0,1,0.9739670070176158,0.9739670070176158,False,Negative,Positive,Uncoded
good night i hope you have a good day tomorrow,0,1,0.9891781134860913,0.9891781134860913,False,Negative,Positive,Uncoded
even is not biting,1,0,0.05746727103127701,0.942532728968723,False,Positive,Negative,Uncoded
lol i dont think swine flu has anyhting to do with birds but im not sure lol thought it was pigs but mybe im wrong,1,0,0.06659799853415063,0.9334020014658494,False,Positive,Negative,Uncoded
doesnt it suck to be at work while other people are enjoying the weather hahaa nosaaaa,1,0,0.09178909544600031,0.9082109045539997,False,Positive,Negative,Uncoded
why lonely my fellow harlemite,1,0,0.04612309580505965,0.9538769041949403,False,Positive,Negative,Uncoded
busy working wishing i was out in this beautiful weather still have more garden to plant,1,0,0.07521090066069833,0.9247890993393016,False,Positive,Negative,Uncoded
so im sat on my own bored its carnivla day but throwing it down outside and today is just a bore egypt soon tho woohooo,1,0,0.066728053430849,0.933271946569151,False,Positive,Negative,Uncoded
hi my name is allison and i'm obsessed with high school musical,0,1,0.9255342469262346,0.9255342469262346,False,Negative,Positive,Uncoded
still here by myself oh wait someone just pulled up nvm,1,0,0.08280856632097863,0.9171914336790213,False,Positive,Negative,Uncoded
how weird to wake up with gertie next to me i sort miss my cozy sleeping bag but it'll be there next year miss u guys already alc8,1,0,0.03631479855879362,0.9636852014412064,False,Positive,Negative,Uncoded
haaaaaaaaay i'm hungry,1,0,0.024425853802443293,0.9755741461975567,False,Positive,Negative,Uncoded
im determined to like start being friends with him you know instead of just a little quot hi quot,0,1,0.9059473909549067,0.9059473909549067,False,Negative,Positive,Uncoded
oh no all 4 of mine have vanished megaweep no more horny kitty,1,0,0.026470897084215916,0.9735291029157841,False,Positive,Negative,Uncoded
its 4 3 now sod still down a break sod is playing well but just not able to match fedex's class frenchopen,1,0,0.0831341927141771,0.9168658072858229,False,Positive,Negative,Uncoded
we miss you too,1,0,0.09921913749900885,0.9007808625009912,False,Positive,Negative,Uncoded
oh dear what a rotten life you lead not,1,0,0.09192181584608945,0.9080781841539105,False,Positive,Negative,Uncoded
i don't think you are alone,1,0,0.06788616391350594,0.932113836086494,False,Positive,Negative,Uncoded
oh haha all good well i gotta go work time ttyl lt 3 ya xoxoxo,0,1,0.9445123601146135,0.9445123601146135,False,Negative,Positive,Uncoded
cont'd took it apart put it back leaving out a couple of screw i don't know where they go then kicked it amp cursed in french,1,0,0.09326437796165808,0.9067356220383419,False,Positive,Negative,Uncoded
hope you had a good show tonight i'm drunk,0,1,0.9486767251945022,0.9486767251945022,False,Negative,Positive,Uncoded
just checked in coming back reached gauwhati airport at 11 30 was closed there wasn't a single person there not even a guard,1,0,0.025652164757146823,0.9743478352428532,False,Positive,Negative,Uncoded
last day of school crushed,1,0,0.08189177809422583,0.9181082219057741,False,Positive,Negative,Uncoded
i cant believe the days are going by so fast 15 days left,1,0,0.07764019114277804,0.922359808857222,False,Positive,Negative,Uncoded
have yoooooooou got msnn x,1,0,0.05471982280113634,0.9452801771988637,False,Positive,Negative,Uncoded
what is up with the heat wave i don't like dry heat i can use a bit of chicago humidity about now,1,0,0.03902292269502499,0.9609770773049751,False,Positive,Negative,Uncoded
you'll have one soon i promise,0,1,0.9083849022372563,0.9083849022372563,False,Negative,Positive,Uncoded
future reflectionsssssss,0,1,0.9163256749663564,0.9163256749663564,False,Negative,Positive,Uncoded
hey i lack in your cool person editon list lol have a great day te quiero mucho besos,0,1,0.9068251010065644,0.9068251010065644,False,Negative,Positive,Uncoded
been tweeting hardcore 2day i'm getting so annoying sorry well gnyt tweetuniverse get ready to be annoyed 2mrw,1,0,0.03868092454711693,0.9613190754528831,False,Positive,Negative,Uncoded
bugs suck but don't smack that one on your face and hurt yourself i hate when i don that,1,0,0.045117485750454996,0.954882514249545,False,Positive,Negative,Uncoded
i'm late to school again,1,0,0.036536817896559534,0.9634631821034405,False,Positive,Negative,Uncoded
gonna be a good crowd of us today so maybe some water volleyball in pool later hehe ur blokes always got the hump,0,1,0.9494910783107116,0.9494910783107116,False,Negative,Positive,Uncoded
ah bugger you aren't a radiator person sorry,1,0,0.028286213972306358,0.9717137860276936,False,Positive,Negative,Uncoded
i talked to someone smart sony i feel like crying,1,0,0.03982842294310685,0.9601715770568932,False,Positive,Negative,Uncoded
wow thank you have a nice weekend anyway,0,1,0.9956897192529484,0.9956897192529484,False,Negative,Positive,Uncoded
yes,0,1,0.9402305369441872,0.9402305369441872,False,Negative,Positive,Uncoded
sorry to crash but i love and silkfair,1,0,0.05172567667489767,0.9482743233251023,False,Positive,Negative,Uncoded
i feel bad if all time low's new cd leaks but i also don't want to wait until july i'll still buy it though even if it does,1,0,0.07398463918693961,0.9260153608130604,False,Positive,Negative,Uncoded
yes so fun can't wait pic cj,0,1,0.9735268622887926,0.9735268622887926,False,Negative,Positive,Uncoded
good morning unfortunally,0,1,0.9300289532930094,0.9300289532930094,False,Negative,Positive,Uncoded
how does that happen i voted for you so whose the winner,0,1,0.9165536947164472,0.9165536947164472,False,Negative,Positive,Uncoded
yes oooh,0,1,0.9645160527047899,0.9645160527047899,False,Negative,Positive,Uncoded
sorry to hear that you can't say something worthwhile without insulting someone i don't find it that hard,1,0,0.07731624758308517,0.9226837524169148,False,Positive,Negative,Uncoded
happy birthday to me,0,1,0.9709505563010449,0.9709505563010449,False,Negative,Positive,Uncoded
i am hoooome and i didn't die,1,0,0.08140035871216127,0.9185996412878388,False,Positive,Negative,Uncoded
hey shims i can't wait to see damo again either i am missing you all badly ha glad you had a good night,0,1,0.9149914988283788,0.9149914988283788,False,Negative,Positive,Uncoded
had to work on saturday so got a day off,1,0,0.0724286243653108,0.9275713756346892,False,Positive,Negative,Uncoded
wants to play sims really badly right now but in a few weeks i will be home and can play with all my families again,1,0,0.025237384951195884,0.9747626150488041,False,Positive,Negative,Uncoded
how is anyone else supposed to get a guy if we have to compete with that its just not fair,1,0,0.09488298435936908,0.905117015640631,False,Positive,Negative,Uncoded
i have heard that about up reviews like that worry me because i know i won't cry and i hate it when i know i should,1,0,0.09171543425042092,0.908284565749579,False,Positive,Negative,Uncoded
i wouldn't been able to sleep,1,0,0.0984870203402399,0.9015129796597601,False,Positive,Negative,Uncoded
bored outta my mind wide awake i need to take my meds soon to help me sleep,1,0,0.09025800749167394,0.9097419925083261,False,Positive,Negative,Uncoded
having a bad day buddy,1,0,0.025235136205107516,0.9747648637948925,False,Positive,Negative,Uncoded
not much no,1,0,0.0496708191299835,0.9503291808700165,False,Positive,Negative,Uncoded
arent you at work,1,0,0.08173974928367142,0.9182602507163286,False,Positive,Negative,Uncoded
hmmmm must of been another shop we never had a katlyn working for us,1,0,0.08271244637687807,0.917287553623122,False,Positive,Negative,Uncoded
got lots of to dos but thank god for british pop music love it,0,1,0.9564708738085674,0.9564708738085674,False,Negative,Positive,Uncoded
on the way downtown 4 10 hours of dance tech and dress rehearsals yay,0,1,0.9445709093131338,0.9445709093131338,False,Negative,Positive,Uncoded
due to a horrible coffee miscommunication i went from this to this d in only 3 seconds,1,0,0.07878292780969129,0.9212170721903087,False,Positive,Negative,Uncoded
going to make some oatmeal yum,0,1,0.9595330697031154,0.9595330697031154,False,Negative,Positive,Uncoded
noo am not lyk dudde how can u not like her,1,0,0.03985894199041022,0.9601410580095898,False,Positive,Negative,Uncoded
i seriously had a panic attack when you said you were coming back i really hope i hate that i love you 2 wins,1,0,0.046411348782948315,0.9535886512170517,False,Positive,Negative,Uncoded
can't believe it's my last day in honolulu wish i had more time gonna miss this place,1,0,0.0021162998522131072,0.9978837001477869,False,Positive,Negative,Uncoded
ferris bueller that guys a professional first time seeing the film i love it already 'pretty in pink' now while doing geography h w,0,1,0.9312466007616578,0.9312466007616578,False,Negative,Positive,Uncoded
i'm with you on that one,0,1,0.9271052882596578,0.9271052882596578,False,Negative,Positive,Uncoded
is heading home need to rest only had 3 hours sleep last night,1,0,0.09233452623615834,0.9076654737638417,False,Positive,Negative,Uncoded
writing writing writing has to be in english so why don't do it here only a month to go to finish my paper no panic,1,0,0.048634847908677906,0.9513651520913221,False,Positive,Negative,Uncoded
yes,0,1,0.9402305369441872,0.9402305369441872,False,Negative,Positive,Uncoded
surprising am i that bad haha,0,1,0.9134928490953266,0.9134928490953266,False,Negative,Positive,Uncoded
i'd move into a mudhut if i could but none of the other crap i just like the mudhut,1,0,0.06908488046376951,0.9309151195362305,False,Positive,Negative,Uncoded
well stay safe and warm,0,1,0.9093423475300846,0.9093423475300846,False,Negative,Positive,Uncoded
can't wait for toy story 3,0,1,0.962644354472905,0.962644354472905,False,Negative,Positive,Uncoded
i hate my siblings always making me confused curse them v peace,1,0,0.04470768289240746,0.9552923171075925,False,Positive,Negative,Uncoded
i don't have any,1,0,0.02352171860694601,0.976478281393054,False,Positive,Negative,Uncoded
i am enjoying your online radio great am music ps just finished s 3 of the wire last night and watched you die,0,1,0.9261391351044883,0.9261391351044883,False,Negative,Positive,Uncoded
haha no chance jd is my fave drink by miles don't mind jim beam either they're just so 'spensive,0,1,0.907265856157618,0.907265856157618,False,Negative,Positive,Uncoded
anthem of the day quot kaskade your love is black quot bwahahahahaha hikz,0,1,0.9124496828154047,0.9124496828154047,False,Negative,Positive,Uncoded
i heart fail whale but no one can beat patrick star,1,0,0.07246269562086481,0.9275373043791352,False,Positive,Negative,Uncoded
why does my coffee cup need a refill every other minute today mayb i should stop drinking fail,1,0,0.02958823607823794,0.9704117639217621,False,Positive,Negative,Uncoded
i pulled over some dude selling a laptop thinking it may have been urs but it was some bullshit i tried,1,0,0.07799144663955844,0.9220085533604415,False,Positive,Negative,Uncoded
omg my mom already had her surgery and she's fine,1,0,0.09308415210760419,0.9069158478923958,False,Positive,Negative,Uncoded
it's not really a bad thing i just don't want to leave the house everything i need is already here,1,0,0.016538418400447723,0.9834615815995523,False,Positive,Negative,Uncoded
im pulling my dad out cause he wont leave,1,0,0.067031931939825,0.932968068060175,False,Positive,Negative,Uncoded
sat nite was amazing can't believe no more shows amp m amp gs thx 4 the bday kisses ur amazing amp the show was the best yet xo,0,1,0.9307301791213369,0.9307301791213369,False,Negative,Positive,Uncoded
i love you hunny i'll relief your stress wink,0,1,0.9719581100653784,0.9719581100653784,False,Negative,Positive,Uncoded
funny no suffering i can't even get into my journey through live with dmb as the soundtrack people will think i've lost it,1,0,0.060833723304455134,0.9391662766955449,False,Positive,Negative,Uncoded
mannnnn i'm bummed i'm not there but so proud of my team,1,0,0.09084391063213873,0.9091560893678613,False,Positive,Negative,Uncoded
doesn't want half term to end but wants to see mates again at school,1,0,0.02316325243849899,0.976836747561501,False,Positive,Negative,Uncoded
aw cassius missed me all day he won't leave me alone now but being gone most of the day was worth it definitively,1,0,0.04846625163835534,0.9515337483616446,False,Positive,Negative,Uncoded
i want to go to disneyland but i cant cause its like almost 2am o o and im in nor cal lame goodnight,1,0,0.042086723032838474,0.9579132769671616,False,Positive,Negative,Uncoded
oh no so sorry to hear was there not that long ago anything i can bring you,1,0,0.006655083436680097,0.9933449165633199,False,Positive,Negative,Uncoded
same but instead my mouth dropped open lol im missing that thomas,1,0,0.016206997386554862,0.9837930026134452,False,Positive,Negative,Uncoded
so true well i just had a shower now i'm going to grab some food to see me through the next few hours wish me luck,0,1,0.9495014111401392,0.9495014111401392,False,Negative,Positive,Uncoded
i used to have an explorer ran out of gas a few times college i left work about 10 30 last night,1,0,0.029909400451335173,0.9700905995486648,False,Positive,Negative,Uncoded
heey just got home from stockholm were with friends and had fun but it was sad that it rained,1,0,0.05952565025224854,0.9404743497477515,False,Positive,Negative,Uncoded
yeah you are so excited coz next month u'll be on holiday,0,1,0.9475572158554939,0.9475572158554939,False,Negative,Positive,Uncoded
that female jogger was weird you're my fave rx dj next to delamar yay haha,0,1,0.9758265378409069,0.9758265378409069,False,Negative,Positive,Uncoded
they all sold out already but i can try to get them from a store for you,1,0,0.04364507841720894,0.9563549215827911,False,Positive,Negative,Uncoded
i'll show you pictures,0,1,0.9549753535097523,0.9549753535097523,False,Negative,Positive,Uncoded
i love the venture bros so much,0,1,0.9085107261030918,0.9085107261030918,False,Negative,Positive,Uncoded
another loser i just lost the game,1,0,0.03528154278182794,0.9647184572181721,False,Positive,Negative,Uncoded
lol if i only can stay up a few more hours i keep missing tila's last posts,1,0,0.04973513327772011,0.9502648667222799,False,Positive,Negative,Uncoded
fuck im sorry you should of said something lol like fuck off dbag,1,0,0.09760945247213329,0.9023905475278667,False,Positive,Negative,Uncoded
interesting congrats on the engagement come makan with us la one day,0,1,0.967645535622963,0.967645535622963,False,Negative,Positive,Uncoded
you're tied together with a smile but your coming undone,0,1,0.9567912067812692,0.9567912067812692,False,Negative,Positive,Uncoded
omg the weather sucks in nyc today,1,0,0.04144492867673951,0.9585550713232605,False,Positive,Negative,Uncoded
finally god helped me in identifying if i was in love and the answer is quot no quot,0,1,0.9027989389970488,0.9027989389970488,False,Negative,Positive,Uncoded
remember you passsssssword pls,0,1,0.9049957348278481,0.9049957348278481,False,Negative,Positive,Uncoded
playradioplay i want to be dead,1,0,0.08304439053284304,0.9169556094671569,False,Positive,Negative,Uncoded
just checking,0,1,0.9269516169703256,0.9269516169703256,False,Negative,Positive,Uncoded
dang missed it,1,0,0.005656965401311688,0.9943430345986883,False,Positive,Negative,Uncoded
i think i just threw up a little in my mouth,1,0,0.08087229443047635,0.9191277055695236,False,Positive,Negative,Uncoded
watching on tv there's so hot outside and my legs hurt i've just walk too much for one day i guess,1,0,0.046433133461447534,0.9535668665385525,False,Positive,Negative,Uncoded
wish i could,1,0,0.0008038897800743912,0.9991961102199256,False,Positive,Negative,Uncoded
sorry my replay was to dreamyeyes,1,0,0.046929074562233795,0.9530709254377662,False,Positive,Negative,Uncoded
saying goodbye now,1,0,0.057300113151135465,0.9426998868488645,False,Positive,Negative,Uncoded
i am starving and still have 1 5 hrs to go and nothing here can you give me something of your brunch,1,0,0.07726111088834516,0.9227388891116548,False,Positive,Negative,Uncoded
eyesight returning still light sensitive but i can read the iphone properly now couldn't when i got up two hours ago,1,0,0.0325802749423588,0.9674197250576412,False,Positive,Negative,Uncoded
i can't live the rock and roll lifestyle like you,0,1,0.9124713070498128,0.9124713070498128,False,Negative,Positive,Uncoded
sure does bring on fedor,0,1,0.9036081917963432,0.9036081917963432,False,Negative,Positive,Uncoded
just weighed in i didn't gain like i thought i was going to lost a pound only one but that's okay,1,0,0.05795856582359295,0.9420414341764071,False,Positive,Negative,Uncoded
cuddles no be sad here have a aniseed ball,1,0,0.027156315065586578,0.9728436849344134,False,Positive,Negative,Uncoded
good for you have fun girl,0,1,0.9914013958507706,0.9914013958507706,False,Negative,Positive,Uncoded
yea stupid guys ugh,1,0,0.015247983177983487,0.9847520168220165,False,Positive,Negative,Uncoded
lol that sucks so much that i don't know where to start,1,0,0.03948323538013048,0.9605167646198696,False,Positive,Negative,Uncoded
haz not been on twitr in long tiemz i r sorry for neglecting u tiwtr hstry exam wuz gd i r happy accounts exam will b fail gdtiemz,1,0,0.07130399276230978,0.9286960072376902,False,Positive,Negative,Uncoded
all garden veggies doing great potatoes are about 18 quot tall gt gt gt time to do a little weeding not my favorite chore,0,1,0.9206644395667076,0.9206644395667076,False,Negative,Positive,Uncoded
lets make the headlineeeeeeeeeeesss saudades das spice,0,1,0.9168392077163894,0.9168392077163894,False,Negative,Positive,Uncoded
sun started to shine after i got home from the golf course happy midsummer for everyone anyway,0,1,0.9343764101920075,0.9343764101920075,False,Negative,Positive,Uncoded
fun pics how are ya lovely rabid love bunny misses you,0,1,0.9426613804376052,0.9426613804376052,False,Negative,Positive,Uncoded
very true i'm well protected though so i smile to that,0,1,0.932173218941952,0.932173218941952,False,Negative,Positive,Uncoded
yay rsyncs going slowly again,0,1,0.954123087853065,0.954123087853065,False,Negative,Positive,Uncoded
gutted i missed most of the game damn revision good game from what i saw in the last 15 mins,1,0,0.02055193461207137,0.9794480653879286,False,Positive,Negative,Uncoded
off to the dentist,1,0,0.09160330764284003,0.90839669235716,False,Positive,Negative,Uncoded
gentle pat on the back try ginger that helps me sometimes,0,1,0.9230035450144023,0.9230035450144023,False,Negative,Positive,Uncoded
wish i could be home watching the tonys but instead i have to finish my work day,1,0,0.053151544194101105,0.9468484558058989,False,Positive,Negative,Uncoded
omg i want holiday still some boring days to go,1,0,0.08444560115348579,0.9155543988465142,False,Positive,Negative,Uncoded
argh no i can't find it can you send me the link,1,0,0.029474355737105374,0.9705256442628947,False,Positive,Negative,Uncoded
i'm need to to my homework but i'm hate it just more 2 weeks,1,0,0.029471835492684034,0.9705281645073159,False,Positive,Negative,Uncoded
omggg thanks alot love you sex oxoxoxo lt 3,0,1,0.9429509137583592,0.9429509137583592,False,Negative,Positive,Uncoded
i don't have any bike plate,1,0,0.07575277433226071,0.9242472256677393,False,Positive,Negative,Uncoded
off to do 1 000 chores yay have a great day everyone,0,1,0.9814150270274601,0.9814150270274601,False,Negative,Positive,Uncoded
yay as all who choose to not do right even the one i voted for this time thank you and follw ur happy,0,1,0.9908400973205529,0.9908400973205529,False,Negative,Positive,Uncoded
the ny times needs a lesson on how much tweeting is too much they just lost a follower not that they care,1,0,0.06677013647433726,0.9332298635256627,False,Positive,Negative,Uncoded
big hugs to never meant to upset you,1,0,0.09922188846727492,0.9007781115327251,False,Positive,Negative,Uncoded
if only i wasn't so far away x,1,0,0.012460105167002602,0.9875398948329974,False,Positive,Negative,Uncoded
sitting at home watching your reruns and following tweets exciting night,0,1,0.9453801982950495,0.9453801982950495,False,Negative,Positive,Uncoded
it's almost time to go home and so much work left to be done,1,0,0.08411986594136425,0.9158801340586358,False,Positive,Negative,Uncoded
hehe i couldn't resist amp nope i'm not at work yet but will be soon,0,1,0.9365480168268819,0.9365480168268819,False,Negative,Positive,Uncoded
oh ok and ok lol well off to dinner with lol,0,1,0.9514996675921854,0.9514996675921854,False,Negative,Positive,Uncoded
sanctuarysunday good morning keep tweeting we've fallen from 5th place,0,1,0.9275133397579385,0.9275133397579385,False,Negative,Positive,Uncoded
y thank you ive been told as much too bad u didn't work earlier i wouldve come down and said hi,1,0,0.07683749610460328,0.9231625038953968,False,Positive,Negative,Uncoded
only you tube is not enough to me need a cd for my car jimmy music full volume how about this,1,0,0.08686614782271548,0.9131338521772845,False,Positive,Negative,Uncoded
just saw the most amazingly shaped woman at the mall thick women never make eye contact with me when i smile at them,0,1,0.9095161370061964,0.9095161370061964,False,Negative,Positive,Uncoded
haha such a random thing for edward cullen to say they should've put in quot breakfast time for the human quot that was my fave line,0,1,0.9109138864418496,0.9109138864418496,False,Negative,Positive,Uncoded
today again shopping with my looovely friends have to be sparing why does the money goes so fast but the days of the month not,1,0,0.059432570150279085,0.9405674298497209,False,Positive,Negative,Uncoded
w 297 3 more to go randy johnson don't rain tomorrow please amp i'm kinda bummed we can't perform next friday,1,0,0.09029245008750361,0.9097075499124964,False,Positive,Negative,Uncoded
i 4got u were working 2night i shoulda stayed up there,1,0,0.08948004353190485,0.9105199564680951,False,Positive,Negative,Uncoded
my dog tried to jump the walls of my fort and nearly fell off i had to save her,1,0,0.0877818754618636,0.9122181245381364,False,Positive,Negative,Uncoded
am home with the family wet cos of the rain got a call from dad on the bus cos my mum got worried that i wasnt home yet isnt she sweet,1,0,0.0548771901368338,0.9451228098631662,False,Positive,Negative,Uncoded
unfortunately not i am running bad these days but i'll be fine,1,0,0.0708103215244134,0.9291896784755866,False,Positive,Negative,Uncoded
finishing a site audit doing link building and working on proposals though feels like the day hasn't even started yet and it's monday,1,0,0.09196743839316518,0.9080325616068348,False,Positive,Negative,Uncoded
hahha be nice,0,1,0.9300432470219171,0.9300432470219171,False,Negative,Positive,Uncoded
school's almost over gonna be gone for a few days got so many parties to go to,1,0,0.06933323921822682,0.9306667607817731,False,Positive,Negative,Uncoded
sorry sorry again,1,0,0.02638469947444892,0.9736153005255511,False,Positive,Negative,Uncoded
no we got to the tattoo place 2 late but we r going this weekend woot woot,0,1,0.9003714785174157,0.9003714785174157,False,Negative,Positive,Uncoded
i'm headed back to work now and i already miss my amazingly gorgeous girlfriend she's all mine now i keep her,1,0,0.07001633819694561,0.9299836618030544,False,Positive,Negative,Uncoded
phone has stopped working again no more worrying about people texting me back,1,0,0.008365753568358208,0.9916342464316418,False,Positive,Negative,Uncoded
ugh sats are going to suck but relay for life after,1,0,0.08346931414473371,0.9165306858552663,False,Positive,Negative,Uncoded
about to make thank you cards,0,1,0.9607891885023999,0.9607891885023999,False,Negative,Positive,Uncoded
spoiled emily's awesome saussage pasta thing,0,1,0.9594692761426973,0.9594692761426973,False,Negative,Positive,Uncoded
on the phone with london our online post facility there is creating the opening credit sequence what name shall i use decisions,0,1,0.9104517922675113,0.9104517922675113,False,Negative,Positive,Uncoded
right ok already had that i'm sorry i thought i missed something else i didn't mean to look dense,1,0,0.09208597994592657,0.9079140200540734,False,Positive,Negative,Uncoded
i hear steven hawking is beginning to regret that he forgot to renew his norton antivirus subscription last week,1,0,0.07442440927588788,0.9255755907241121,False,Positive,Negative,Uncoded
poor girl i hear ya,1,0,0.04396592009140117,0.9560340799085988,False,Positive,Negative,Uncoded
yeah i just follow famous people because i'm cool like that submitting to society's celebrity dominated attitudes pet,0,1,0.9607878934552548,0.9607878934552548,False,Negative,Positive,Uncoded
almost finished with studying yay for reviewing afterward,0,1,0.9124219753494025,0.9124219753494025,False,Negative,Positive,Uncoded
cu soon hope you'll f,0,1,0.928690385904593,0.928690385904593,False,Negative,Positive,Uncoded
i love that dog,0,1,0.9066935426578757,0.9066935426578757,False,Negative,Positive,Uncoded
wonderful i ll be slogging at 9 you get up at 9 eh,0,1,0.9028634216674183,0.9028634216674183,False,Negative,Positive,Uncoded
lol,0,1,0.9848921840750716,0.9848921840750716,False,Negative,Positive,Uncoded
ouch i'll go check out oh if you start getting nailed i got your back lol,0,1,0.9364080312409524,0.9364080312409524,False,Negative,Positive,Uncoded
sorry that was rude please invite me,1,0,0.044770968845315416,0.9552290311546846,False,Positive,Negative,Uncoded
not even a raisin,1,0,0.08780287103312132,0.9121971289668787,False,Positive,Negative,Uncoded
doh is lame 2 reschedule the concert is lame no way i'm not here on 17 davids don't have n1h1 i won't mind having d's virus though,1,0,0.016389723376262214,0.9836102766237378,False,Positive,Negative,Uncoded
oh i miss that wiggle feeling not enough to do it again at this point in my life but i miss it just the same,1,0,0.006733076044102645,0.9932669239558973,False,Positive,Negative,Uncoded
the neti pot is the best thing i've found so far zyrtec kind of helps but after awhile i'll build up an immunity to that,0,1,0.9077962001023552,0.9077962001023552,False,Negative,Positive,Uncoded
i'm so nervous about my guitar exam tomorrow amp i can't believe i got sucked into twitter world ofc i pulled into it too,1,0,0.04668047757129655,0.9533195224287034,False,Positive,Negative,Uncoded
is looking at her florida photos yiipppppeee wish i was back there though,1,0,0.08007241984368121,0.9199275801563188,False,Positive,Negative,Uncoded
it s my last weeek of senior fucking year im sad but damn hellla happy,1,0,0.03831438533312141,0.9616856146668786,False,Positive,Negative,Uncoded
netball's cancelled,1,0,0.005665369783095798,0.9943346302169042,False,Positive,Negative,Uncoded
i didn't attend any lecture this year i just can't stay awake and focused,1,0,0.07226235915710033,0.9277376408428997,False,Positive,Negative,Uncoded
i'm tired u guuuuuys where was the weekend i lost it again grrr oh well at least its sunny outside,1,0,0.03994581086165625,0.9600541891383437,False,Positive,Negative,Uncoded
can but have to reconfirm tomorrow as the boy comes home tomorrow,1,0,0.06707005231244031,0.9329299476875597,False,Positive,Negative,Uncoded
i want kelly and zhen ni at my house now yesterday was awesome we should get together more often and drive the world crazy,0,1,0.9079130453147496,0.9079130453147496,False,Negative,Positive,Uncoded
guess not,1,0,0.03287121027518854,0.9671287897248114,False,Positive,Negative,Uncoded
